MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
34,1.9,145.09,0.75,39.32,69.4,0.7,5.645,3.833,45.43,70.07,195.8818014,Overview,0,6902,None,17.5,0
34.5,2,144.98,0.94,31.14,111.27,1.9,6.629,4.402,45.46,88.12,140.6032498,Section 17.5,0,530,None,12.25,530
35,2.1,144.79,0.93,28.11,122.19,2,6.733,6.06,45.27,86.86,175.7764024,Section 12.25,530,2854,None,8.5,2854
35.5,2,144.95,1,30.08,122.42,2,5.697,5.697,45.43,93.53,165.1362912,Section 8.5,2854,6902,None,,
36,2.8,145.15,1.22,37,122.55,1.8,7.303,3.781,45.63,114.31,110.5632668,Overburden,0,1488.9,Shale,,
36.5,1.8,144.73,0.87,26.29,121.79,1.6,6.37,6.37,45.21,81.35,185.0368107,Mercury Shale,1488.9,1854.4,Shale,,
37,2,144.79,0.87,26.3,122.42,1.6,5.076,4.247,45.27,81.35,123.2926573,Upper Gemini Sand,1854.4,2208.9,Sand,,
37.5,2.4,144.79,1.02,30.6,123.09,2.3,7.199,4.868,45.27,95.02,140.6272413,Middle Gemini Sand,2208.9,2412.5,Sand,,
38,3.2,159.9,1.23,39.37,127.62,2.6,8.546,5.904,60.38,114.56,181.7313903,Lower Gemini Sand,2412.5,2800.5,Sand,,
38.5,3.3,160.13,1.45,55.55,105.25,2.6,7.613,6.215,60.47,135.04,231.8049197,Aldrin Shale,2800.5,3449.4,Shale,,
39,4,176.7,2.96,134.72,95.98,2.8,9.788,4.972,60.69,275.95,224.9010126,Nebula Sand,3449.4,3599.1,Sand,,
39.5,2.5,176.34,2.5,145.9,74.16,2.4,6.37,5.852,60.33,233.26,339.6298781,Orion Sand,3599.1,3901,Sand,,
40,3,176.36,2.7,92.18,127.89,2.6,7.044,6.422,60.35,251.62,217.0398974,Lovell Limestone,3901,3918,Limestone,,
40.5,2.1,176.25,2.29,80.42,123.89,2,4.92,4.713,60.24,213.65,164.2138752,Shepard Shale,3918,3931.5,Shale,,
41,2.3,176.17,2.3,73.2,136.96,2.2,5.593,4.713,60.16,214.36,148.7292135,Apollo Limestone,3931.5,4107.2,Limestone,,
41.5,2.5,176.45,2.18,69.57,137.36,2.3,5.593,4.868,60.44,203.4,153.4972645,Armstrong Shale U,4107.2,4137.7,Shale,,
42,4.1,176.59,2.72,87.36,137.62,2.7,8.804,5.801,60.58,253.89,183.4261976,Armstrong Shale M,4137.7,4158.7,Shale,,
42.5,4.8,176.93,3.36,446.54,32.54,3.2,12.015,11.083,60.92,313.47,1467.018839,Armstrong Shale L,4158.7,6773.6,Shale,,
43,2.2,176.65,2.58,94.23,119.07,1.5,8.908,5.697,60.5,240.48,206.7257233,Armstrong Shale M,6773.6,6830.6,Shale,,
43.5,4.8,182.12,3.75,115.12,148.01,2.6,12.896,8.804,66.11,350.08,266.2069046,Apollo Limestone,6830.6,6902,Limestone,,
44,2.7,181.62,2.95,140.75,93.64,1,9.53,5.801,65.61,275.51,275.0447071,,,,,,
44.5,2.7,183.05,2.74,89.29,139.28,1.8,12.326,7.717,67.04,256.1,248.0974001,,,,,,
45,2.2,182.8,2.26,73.51,139.13,1.9,10.98,9.633,66.79,210.94,308.8672338,,,,,,
45.5,2.7,182.24,2.96,102.8,129.45,2.6,13.258,13.258,66.23,275.98,455.1414802,,,,,,
46,1.6,221.4,1.06,204.69,27.92,1.6,11.498,6.888,71.76,98.71,1327.970658,,,,,,
55.5,0.3,220.59,0.69,26.77,139.11,0.2,6.37,3.056,70.95,64.41,117.9185105,,,,,,
56.5,0.5,220.78,0.52,18.7,153.03,0.5,6.267,3.833,71.14,48.96,134.661848,,,,,,
57,0.9,220.45,0.37,13.57,152.96,0.5,8.597,4.609,70.81,34.67,161.9456326,,,,,,
